node_id,node_type,graph_type,sentences,label,law_code,law_name,issued,chapter_id,chapter_num,chapter_roman,chapter_title,article_id,article_num,article_title,clause_id,clause_num,clause_content,point_id,point_label,point_content,section_id,section_num,section_title,text,source,span_start,span_end,base_role,attributes,prefix,content,modality,value,unit,type,constraint,direction,anchor,numeric
laborlaw_45_2019_QH14,LAW,structural,"[""BỘ LUẬT LAO ĐỘNG""]",Luật lao động,45/2019/QH14,BỘ LUẬT LAO ĐỘNG,Quốc hội ban hành Bộ luật Lao động.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch1,CHAPTER,structural,"[""NHỮNG QUY ĐỊNH CHUNG""]",Chương 1,,,,ch1,1.0,I,NHỮNG QUY ĐỊNH CHUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch1_d1,ARTICLE,structural,"[""Phạm vi điều chỉnh Bộ luật Lao động quy định tiêu chuẩn lao động"", ""quyền, nghĩa vụ, trách nhiệm của người lao động, người sử dụng lao động, tổ chức đại diện người lao động tại cơ sở, tổ chức đại diện người sử dụng lao động trong quan hệ lao động và các quan hệ khác liên quan trực tiếp đến quan hệ lao động"", ""quản lý nhà nước về lao động""]",Chương 1 Điều 1,,,,,,,,ch1_d1,1,"Phạm vi điều chỉnh Bộ luật Lao động quy định tiêu chuẩn lao động; quyền, nghĩa vụ, trách nhiệm của người lao động, người sử dụng lao động, tổ chức đại diện người lao động tại cơ sở, tổ chức đại diện người sử dụng lao động trong quan hệ lao động và các quan hệ khác liên quan trực tiếp đến quan hệ lao động; quản lý nhà nước về lao động.",,,,,,,,,,,,,,,,,,,,,,,,,
ch1_d2,ARTICLE,structural,"[""Đối tượng áp dụng""]",Chương 1 Điều 2,,,,,,,,ch1_d2,2,Đối tượng áp dụng,,,,,,,,,,,,,,,,,,,,,,,,,
ch1_d2_k1,CLAUSE,structural,"[""Người lao động, người học nghề, người tập nghề và người làm việc không có quan hệ lao động""]",Chương 1 Điều 2 Khoản 1,,,,,,,,,,,ch1_d2_k1,1,"Người lao động, người học nghề, người tập nghề và người làm việc không có quan hệ lao động.",,,,,,,,,,,,,,,,,,,,,,
ch1_d2_k2,CLAUSE,structural,"[""Người sử dụng lao động""]",Chương 1 Điều 2 Khoản 2,,,,,,,,,,,ch1_d2_k2,2,Người sử dụng lao động.,,,,,,,,,,,,,,,,,,,,,,
ch1_d2_k3,CLAUSE,structural,"[""Người lao động nước ngoài làm việc tại Việt Nam""]",Chương 1 Điều 2 Khoản 3,,,,,,,,,,,ch1_d2_k3,3,Người lao động nước ngoài làm việc tại Việt Nam.,,,,,,,,,,,,,,,,,,,,,,
ch1_d2_k4,CLAUSE,structural,"[""Cơ quan, tổ chức, cá nhân khác có liên quan trực tiếp đến quan hệ lao động""]",Chương 1 Điều 2 Khoản 4,,,,,,,,,,,ch1_d2_k4,4,"Cơ quan, tổ chức, cá nhân khác có liên quan trực tiếp đến quan hệ lao động.",,,,,,,,,,,,,,,,,,,,,,
ch1_d3,ARTICLE,structural,"[""Giải thích từ ngữ Trong Bộ luật này, các từ ngữ dưới đây được hiểu như sau:""]",Chương 1 Điều 3,,,,,,,,ch1_d3,3,"Giải thích từ ngữ Trong Bộ luật này, các từ ngữ dưới đây được hiểu như sau:",,,,,,,,,,,,,,,,,,,,,,,,,
ch1_d3_k1,CLAUSE,structural,"[""Người lao động là người làm việc cho người sử dụng lao động theo thỏa thuận, được trả lương và chịu sự quản lý, điều hành, giám sát của người sử dụng lao động"", ""Độ tuổi lao động tối thiểu của người lao động là đủ 15 tuổi, trừ trường hợp quy định tại Mục 1 Chương XI của Bộ luật này""]",Chương 1 Điều 3 Khoản 1,,,,,,,,,,,ch1_d3_k1,1,"Người lao động là người làm việc cho người sử dụng lao động theo thỏa thuận, được trả lương và chịu sự quản lý, điều hành, giám sát của người sử dụng lao động. Độ tuổi lao động tối thiểu của người lao động là đủ 15 tuổi, trừ trường hợp quy định tại Mục 1 Chương XI của Bộ luật này.",,,,,,,,,,,,,,,,,,,,,,
