edge_id,source_id,target_id,relation_type,graph_type
e_1,laborlaw_45_2019_QH14,ch1,has_chapter,structural
e_2,ch1,ch1_d1,has_article,structural
e_3,ch1,ch1_d2,has_article,structural
e_4,ch1_d2,ch1_d2_k1,has_clause,structural
e_5,ch1_d2,ch1_d2_k2,has_clause,structural
e_6,ch1_d2,ch1_d2_k3,has_clause,structural
e_7,ch1_d2,ch1_d2_k4,has_clause,structural
e_8,ch1,ch1_d3,has_article,structural
e_9,ch1_d3,ch1_d3_k1,has_clause,structural
e_10,ch1_d3,ch1_d3_k2,has_clause,structural
e_11,ch1_d3,ch1_d3_k3,has_clause,structural
e_12,ch1_d3,ch1_d3_k4,has_clause,structural
e_13,ch1_d3,ch1_d3_k5,has_clause,structural
e_14,ch1_d3,ch1_d3_k6,has_clause,structural
e_15,ch1_d3,ch1_d3_k7,has_clause,structural
e_16,ch1_d3,ch1_d3_k8,has_clause,structural
e_17,ch1_d3,ch1_d3_k9,has_clause,structural
e_18,ch1,ch1_d4,has_article,structural
e_19,ch1_d4,ch1_d4_k1,has_clause,structural
e_20,ch1_d4,ch1_d4_k2,has_clause,structural
e_21,ch1_d4,ch1_d4_k3,has_clause,structural
e_22,ch1_d4,ch1_d4_k4,has_clause,structural
e_23,ch1_d4,ch1_d4_k5,has_clause,structural
e_24,ch1_d4,ch1_d4_k6,has_clause,structural
e_25,ch1_d4,ch1_d4_k7,has_clause,structural
e_26,ch1,ch1_d5,has_article,structural
e_27,ch1_d5,ch1_d5_k1,has_clause,structural
e_28,ch1_d5_k1,ch1_d5_k1_a,has_point,structural
e_29,ch1_d5_k1,ch1_d5_k1_b,has_point,structural
e_30,ch1_d5_k1,ch1_d5_k1_c,has_point,structural
e_31,ch1_d5_k1,ch1_d5_k1_d,has_point,structural
e_32,ch1_d5_k1,ch1_d5_k1_đ,has_point,structural
e_33,ch1_d5_k1,ch1_d5_k1_e,has_point,structural
e_34,ch1_d5_k1,ch1_d5_k1_g,has_point,structural
e_35,ch1_d5,ch1_d5_k2,has_clause,structural
e_36,ch1_d5_k2,ch1_d5_k2_a,has_point,structural
e_37,ch1_d5_k2,ch1_d5_k2_b,has_point,structural
e_38,ch1_d5_k2,ch1_d5_k2_c,has_point,structural
e_39,ch1,ch1_d6,has_article,structural
e_40,ch1_d6,ch1_d6_k1,has_clause,structural
e_41,ch1_d6_k1,ch1_d6_k1_a,has_point,structural
e_42,ch1_d6_k1,ch1_d6_k1_b,has_point,structural
e_43,ch1_d6_k1,ch1_d6_k1_c,has_point,structural
e_44,ch1_d6_k1,ch1_d6_k1_d,has_point,structural
e_45,ch1_d6_k1,ch1_d6_k1_đ,has_point,structural
e_46,ch1_d6,ch1_d6_k2,has_clause,structural
e_47,ch1_d6_k2,ch1_d6_k2_a,has_point,structural
e_48,ch1_d6_k2,ch1_d6_k2_b,has_point,structural
e_49,ch1_d6_k2,ch1_d6_k2_c,has_point,structural
e_50,ch1_d6_k2,ch1_d6_k2_d,has_point,structural
e_51,ch1_d6_k2,ch1_d6_k2_đ,has_point,structural
e_52,ch1,ch1_d7,has_article,structural
e_53,ch1_d7,ch1_d7_k1,has_clause,structural
e_54,ch1_d7,ch1_d7_k2,has_clause,structural
e_55,ch1_d7,ch1_d7_k3,has_clause,structural
e_56,ch1_d7,ch1_d7_k4,has_clause,structural
e_57,ch1,ch1_d8,has_article,structural
e_58,ch1_d8,ch1_d8_k1,has_clause,structural
e_59,ch1_d8,ch1_d8_k2,has_clause,structural
e_60,ch1_d8,ch1_d8_k3,has_clause,structural
e_61,ch1_d8,ch1_d8_k4,has_clause,structural
e_62,ch1_d8,ch1_d8_k5,has_clause,structural
e_63,ch1_d8,ch1_d8_k6,has_clause,structural
e_64,ch1_d8,ch1_d8_k7,has_clause,structural
e_65,laborlaw_45_2019_QH14,ch2,has_chapter,structural
e_66,ch2,ch2_d9,has_article,structural
e_67,ch2_d9,ch2_d9_k1,has_clause,structural
e_68,ch2_d9,ch2_d9_k2,has_clause,structural
e_69,ch2,ch2_d10,has_article,structural
e_70,ch2_d10,ch2_d10_k1,has_clause,structural
e_71,ch2_d10,ch2_d10_k2,has_clause,structural
e_72,ch2,ch2_d11,has_article,structural
e_73,ch2_d11,ch2_d11_k1,has_clause,structural
e_74,ch2_d11,ch2_d11_k2,has_clause,structural
e_75,ch2,ch2_d12,has_article,structural
e_76,ch2_d12,ch2_d12_k1,has_clause,structural
e_77,ch2_d12,ch2_d12_k2,has_clause,structural
e_78,ch2_d12,ch2_d12_k3,has_clause,structural
e_79,laborlaw_45_2019_QH14,ch3,has_chapter,structural
e_80,ch3,ch3_muc1,has_section,structural
e_81,ch3_muc1,ch3_muc1_d13,has_article,structural
e_82,ch3_muc1_d13,ch3_muc1_d13_k1,has_clause,structural
e_83,ch3_muc1_d13,ch3_muc1_d13_k2,has_clause,structural
e_84,ch3_muc1,ch3_muc1_d14,has_article,structural
e_85,ch3_muc1_d14,ch3_muc1_d14_k1,has_clause,structural
e_86,ch3_muc1_d14,ch3_muc1_d14_k2,has_clause,structural
e_87,ch3_muc1,ch3_muc1_d15,has_article,structural
e_88,ch3_muc1_d15,ch3_muc1_d15_k1,has_clause,structural
e_89,ch3_muc1_d15,ch3_muc1_d15_k2,has_clause,structural
e_90,ch3_muc1,ch3_muc1_d16,has_article,structural
e_91,ch3_muc1_d16,ch3_muc1_d16_k1,has_clause,structural
e_92,ch3_muc1_d16,ch3_muc1_d16_k2,has_clause,structural
e_93,ch3_muc1,ch3_muc1_d17,has_article,structural
e_94,ch3_muc1_d17,ch3_muc1_d17_k1,has_clause,structural
e_95,ch3_muc1_d17,ch3_muc1_d17_k2,has_clause,structural
e_96,ch3_muc1_d17,ch3_muc1_d17_k3,has_clause,structural
e_97,ch3_muc1,ch3_muc1_d18,has_article,structural
e_98,ch3_muc1_d18,ch3_muc1_d18_k1,has_clause,structural
e_99,ch3_muc1_d18,ch3_muc1_d18_k2,has_clause,structural
e_100,ch3_muc1_d18,ch3_muc1_d18_k3,has_clause,structural
e_101,ch3_muc1_d18_k3,ch3_muc1_d18_k3_a,has_point,structural
e_102,ch3_muc1_d18_k3,ch3_muc1_d18_k3_b,has_point,structural
e_103,ch3_muc1_d18_k3,ch3_muc1_d18_k3_c,has_point,structural
e_104,ch3_muc1_d18_k3,ch3_muc1_d18_k3_d,has_point,structural
e_105,ch3_muc1_d18,ch3_muc1_d18_k4,has_clause,structural
e_106,ch3_muc1_d18_k4,ch3_muc1_d18_k4_a,has_point,structural
e_107,ch3_muc1_d18_k4,ch3_muc1_d18_k4_b,has_point,structural
e_108,ch3_muc1_d18_k4,ch3_muc1_d18_k4_c,has_point,structural
e_109,ch3_muc1_d18_k4,ch3_muc1_d18_k4_d,has_point,structural
e_110,ch3_muc1_d18,ch3_muc1_d18_k5,has_clause,structural
e_111,ch3_muc1,ch3_muc1_d19,has_article,structural
e_112,ch3_muc1_d19,ch3_muc1_d19_k1,has_clause,structural
e_113,ch3_muc1_d19,ch3_muc1_d19_k2,has_clause,structural
e_114,ch3_muc1,ch3_muc1_d20,has_article,structural
e_115,ch3_muc1_d20,ch3_muc1_d20_k1,has_clause,structural
e_116,ch3_muc1_d20_k1,ch3_muc1_d20_k1_a,has_point,structural
e_117,ch3_muc1_d20_k1,ch3_muc1_d20_k1_b,has_point,structural
e_118,ch3_muc1_d20,ch3_muc1_d20_k2,has_clause,structural
e_119,ch3_muc1_d20_k2,ch3_muc1_d20_k2_a,has_point,structural
e_120,ch3_muc1_d20_k2,ch3_muc1_d20_k2_b,has_point,structural
e_121,ch3_muc1_d20_k2,ch3_muc1_d20_k2_c,has_point,structural
e_122,ch3_muc1,ch3_muc1_d21,has_article,structural
e_123,ch3_muc1_d21,ch3_muc1_d21_k1,has_clause,structural
e_124,ch3_muc1_d21_k1,ch3_muc1_d21_k1_a,has_point,structural
e_125,ch3_muc1_d21_k1,ch3_muc1_d21_k1_b,has_point,structural
e_126,ch3_muc1_d21_k1,ch3_muc1_d21_k1_c,has_point,structural
e_127,ch3_muc1_d21_k1,ch3_muc1_d21_k1_d,has_point,structural
e_128,ch3_muc1_d21_k1,ch3_muc1_d21_k1_đ,has_point,structural
e_129,ch3_muc1_d21_k1,ch3_muc1_d21_k1_e,has_point,structural
e_130,ch3_muc1_d21_k1,ch3_muc1_d21_k1_g,has_point,structural
e_131,ch3_muc1_d21_k1,ch3_muc1_d21_k1_h,has_point,structural
e_132,ch3_muc1_d21_k1,ch3_muc1_d21_k1_i,has_point,structural
e_133,ch3_muc1_d21_k1,ch3_muc1_d21_k1_k,has_point,structural
e_134,ch3_muc1_d21,ch3_muc1_d21_k2,has_clause,structural
e_135,ch3_muc1_d21,ch3_muc1_d21_k3,has_clause,structural
e_136,ch3_muc1_d21,ch3_muc1_d21_k4,has_clause,structural
e_137,ch3_muc1_d21,ch3_muc1_d21_k5,has_clause,structural
e_138,ch3_muc1,ch3_muc1_d22,has_article,structural
e_139,ch3_muc1_d22,ch3_muc1_d22_k1,has_clause,structural
e_140,ch3_muc1_d22,ch3_muc1_d22_k2,has_clause,structural
e_141,ch3_muc1,ch3_muc1_d23,has_article,structural
e_142,ch3_muc1,ch3_muc1_d24,has_article,structural
e_143,ch3_muc1_d24,ch3_muc1_d24_k1,has_clause,structural
e_144,ch3_muc1_d24,ch3_muc1_d24_k2,has_clause,structural
e_145,ch3_muc1_d24,ch3_muc1_d24_k3,has_clause,structural
e_146,ch3_muc1,ch3_muc1_d25,has_article,structural
e_147,ch3_muc1_d25,ch3_muc1_d25_k1,has_clause,structural
e_148,ch3_muc1_d25,ch3_muc1_d25_k2,has_clause,structural
e_149,ch3_muc1_d25,ch3_muc1_d25_k3,has_clause,structural
e_150,ch3_muc1_d25,ch3_muc1_d25_k4,has_clause,structural
e_151,ch3_muc1,ch3_muc1_d26,has_article,structural
e_152,ch3_muc1,ch3_muc1_d27,has_article,structural
e_153,ch3_muc1_d27,ch3_muc1_d27_k1,has_clause,structural
e_154,ch3_muc1_d27,ch3_muc1_d27_k2,has_clause,structural
e_155,ch3,ch3_muc2,has_section,structural
e_156,ch3_muc2,ch3_muc2_d28,has_article,structural
e_157,ch3_muc2,ch3_muc2_d29,has_article,structural
e_158,ch3_muc2_d29,ch3_muc2_d29_k1,has_clause,structural
e_159,ch3_muc2_d29,ch3_muc2_d29_k2,has_clause,structural
e_160,ch3_muc2_d29,ch3_muc2_d29_k3,has_clause,structural
e_161,ch3_muc2_d29,ch3_muc2_d29_k4,has_clause,structural
e_162,ch3_muc2,ch3_muc2_d30,has_article,structural
e_163,ch3_muc2_d30,ch3_muc2_d30_k1,has_clause,structural
e_164,ch3_muc2_d30_k1,ch3_muc2_d30_k1_a,has_point,structural
e_165,ch3_muc2_d30_k1,ch3_muc2_d30_k1_b,has_point,structural
e_166,ch3_muc2_d30_k1,ch3_muc2_d30_k1_c,has_point,structural
e_167,ch3_muc2_d30_k1,ch3_muc2_d30_k1_d,has_point,structural
e_168,ch3_muc2_d30_k1,ch3_muc2_d30_k1_đ,has_point,structural
e_169,ch3_muc2_d30_k1,ch3_muc2_d30_k1_e,has_point,structural
e_170,ch3_muc2_d30_k1,ch3_muc2_d30_k1_g,has_point,structural
e_171,ch3_muc2_d30_k1,ch3_muc2_d30_k1_h,has_point,structural
e_172,ch3_muc2_d30,ch3_muc2_d30_k2,has_clause,structural
e_173,ch3_muc2,ch3_muc2_d31,has_article,structural
e_174,ch3_muc2,ch3_muc2_d32,has_article,structural
e_175,ch3_muc2_d32,ch3_muc2_d32_k1,has_clause,structural
e_176,ch3_muc2_d32,ch3_muc2_d32_k2,has_clause,structural
e_177,ch3_muc2_d32,ch3_muc2_d32_k3,has_clause,structural
e_178,ch3_muc2,ch3_muc2_d33,has_article,structural
e_179,ch3_muc2_d33,ch3_muc2_d33_k1,has_clause,structural
e_180,ch3_muc2_d33,ch3_muc2_d33_k2,has_clause,structural
e_181,ch3_muc2_d33,ch3_muc2_d33_k3,has_clause,structural
e_182,ch3,ch3_muc3,has_section,structural
e_183,ch3_muc3,ch3_muc3_d34,has_article,structural
e_184,ch3_muc3_d34,ch3_muc3_d34_k1,has_clause,structural
e_185,ch3_muc3_d34,ch3_muc3_d34_k2,has_clause,structural
e_186,ch3_muc3_d34,ch3_muc3_d34_k3,has_clause,structural
e_187,ch3_muc3_d34,ch3_muc3_d34_k4,has_clause,structural
e_188,ch3_muc3_d34,ch3_muc3_d34_k5,has_clause,structural
e_189,ch3_muc3_d34,ch3_muc3_d34_k6,has_clause,structural
e_190,ch3_muc3_d34,ch3_muc3_d34_k7,has_clause,structural
e_191,ch3_muc3_d34,ch3_muc3_d34_k8,has_clause,structural
e_192,ch3_muc3_d34,ch3_muc3_d34_k9,has_clause,structural
e_193,ch3_muc3_d34,ch3_muc3_d34_k10,has_clause,structural
e_194,ch3_muc3_d34,ch3_muc3_d34_k11,has_clause,structural
e_195,ch3_muc3_d34,ch3_muc3_d34_k12,has_clause,structural
e_196,ch3_muc3_d34,ch3_muc3_d34_k13,has_clause,structural
e_197,ch3_muc3,ch3_muc3_d35,has_article,structural
e_198,ch3_muc3_d35,ch3_muc3_d35_k1,has_clause,structural
e_199,ch3_muc3_d35_k1,ch3_muc3_d35_k1_a,has_point,structural
e_200,ch3_muc3_d35_k1,ch3_muc3_d35_k1_b,has_point,structural
e_201,ch3_muc3_d35_k1,ch3_muc3_d35_k1_c,has_point,structural
e_202,ch3_muc3_d35_k1,ch3_muc3_d35_k1_d,has_point,structural
e_203,ch3_muc3_d35,ch3_muc3_d35_k2,has_clause,structural
e_204,ch3_muc3_d35_k2,ch3_muc3_d35_k2_a,has_point,structural
e_205,ch3_muc3_d35_k2,ch3_muc3_d35_k2_b,has_point,structural
e_206,ch3_muc3_d35_k2,ch3_muc3_d35_k2_c,has_point,structural
