edge_id,source_id,target_id,relation_type,confidence,chunk_id,sentence_id
e_00001,n_00001,n_00002,time_of_action,0.8999999999999999,chunk_00085,s1
e_00002,n_00003,n_00002,time_of_action,1.0,chunk_00085,s1
e_00003,n_00004,n_00005,time_of_action,0.8,chunk_00086,s0
e_00004,n_00001,n_00006,time_of_action,0.8,chunk_00088,s0
e_00005,n_00007,n_00008,has_right,0.7,chunk_00101,s0
e_00006,n_00004,n_00009,time_of_action,0.8,chunk_00120,s2
e_00007,n_00007,n_00010,has_obligation,0.8999999999999999,chunk_00136,s0
e_00008,n_00011,n_00012,has_obligation,0.7,chunk_00137,s0
e_00009,n_00011,n_00013,has_obligation,0.8999999999999999,chunk_00145,s0
e_00010,n_00014,n_00015,time_of_action,0.7,chunk_00154,s0
e_00011,n_00016,n_00015,time_of_action,0.7,chunk_00154,s0
e_00012,n_00017,n_00015,time_of_action,0.7,chunk_00154,s0
e_00013,n_00018,n_00019,time_of_action,0.7,chunk_00194,s0
e_00014,n_00020,n_00021,time_of_action,0.8999999999999999,chunk_00227,s1
e_00015,n_00020,n_00022,time_of_action,0.8999999999999999,chunk_00227,s1
e_00016,n_00020,n_00023,time_of_action,0.7,chunk_00227,s1
e_00017,n_00024,n_00021,time_of_action,0.8999999999999999,chunk_00227,s1
e_00018,n_00024,n_00022,time_of_action,0.7,chunk_00227,s1
e_00019,n_00024,n_00023,time_of_action,0.7,chunk_00227,s1
e_00020,n_00025,n_00021,time_of_action,0.8999999999999999,chunk_00227,s1
e_00021,n_00025,n_00022,time_of_action,0.7,chunk_00227,s1
e_00022,n_00025,n_00023,time_of_action,0.7,chunk_00227,s1
e_00023,n_00026,n_00027,time_of_action,0.8999999999999999,chunk_00227,s3
e_00024,n_00028,n_00027,time_of_action,0.8999999999999999,chunk_00227,s3
e_00025,n_00029,n_00030,time_of_action,0.7,chunk_00228,s0
e_00026,n_00031,n_00030,time_of_action,0.7,chunk_00228,s0
e_00027,n_00032,n_00033,time_of_action,0.7,chunk_00229,s0
e_00028,n_00034,n_00033,time_of_action,0.7,chunk_00229,s0
e_00029,n_00035,n_00036,has_right,0.7,chunk_00250,s1
e_00030,n_00037,n_00036,has_right,0.7,chunk_00250,s1
e_00031,n_00038,n_00039,time_of_action,0.7,chunk_00268,s0
e_00032,n_00031,n_00039,time_of_action,0.7,chunk_00268,s0
e_00033,n_00007,n_00040,has_obligation,0.7,chunk_00290,s0
e_00034,n_00007,n_00041,has_obligation,0.8999999999999999,chunk_00309,s1
e_00035,n_00017,n_00042,time_of_action,0.8999999999999999,chunk_00310,s1
e_00036,n_00017,n_00043,time_of_action,0.7,chunk_00310,s1
e_00037,n_00007,n_00044,has_right,0.7,chunk_00313,s0
e_00038,n_00045,n_00046,time_of_action,0.7,chunk_00333,s0
e_00039,n_00047,n_00046,time_of_action,0.7,chunk_00333,s0
e_00040,n_00048,n_00046,time_of_action,0.8,chunk_00333,s0
e_00041,n_00049,n_00050,time_of_action,0.7,chunk_00342,s2
e_00042,n_00018,n_00051,time_of_action,0.7,chunk_00344,s0
e_00043,n_00018,n_00052,time_of_action,0.7,chunk_00345,s0
e_00044,n_00018,n_00053,time_of_action,0.7,chunk_00349,s0
e_00045,n_00054,n_00055,time_of_action,1.0,chunk_00351,s0
e_00046,n_00011,n_00056,has_obligation,0.7,chunk_00355,s0
e_00047,n_00007,n_00057,receives_penalty,0.8999999999999999,chunk_00387,s0
e_00048,n_00058,n_00059,time_of_action,0.7,chunk_00396,s1
e_00049,n_00060,n_00059,time_of_action,0.7,chunk_00396,s1
e_00050,n_00061,n_00062,time_of_action,0.8,chunk_00470,s0
e_00051,n_00063,n_00064,time_of_action,0.7,chunk_00560,s1
e_00052,n_00063,n_00065,time_of_action,0.7,chunk_00560,s1
e_00053,n_00066,n_00064,time_of_action,0.7,chunk_00560,s1
e_00054,n_00066,n_00065,time_of_action,0.7,chunk_00560,s1
e_00055,n_00067,n_00064,time_of_action,0.7,chunk_00560,s1
e_00056,n_00067,n_00065,time_of_action,0.7,chunk_00560,s1
e_00057,n_00063,n_00068,time_of_action,0.8,chunk_00577,s0
e_00058,n_00063,n_00069,time_of_action,0.8999999999999999,chunk_00577,s0
e_00059,n_00063,n_00070,time_of_action,0.7,chunk_00577,s0
e_00060,n_00066,n_00068,time_of_action,0.8,chunk_00577,s0
e_00061,n_00066,n_00069,time_of_action,0.7,chunk_00577,s0
e_00062,n_00066,n_00070,time_of_action,0.7,chunk_00577,s0
e_00063,n_00067,n_00068,time_of_action,0.8,chunk_00577,s0
e_00064,n_00067,n_00069,time_of_action,0.7,chunk_00577,s0
e_00065,n_00067,n_00070,time_of_action,0.7,chunk_00577,s0
e_00066,n_00020,n_00071,time_of_action,0.8,chunk_00584,s0
e_00067,n_00020,n_00072,time_of_action,0.8999999999999999,chunk_00584,s0
e_00068,n_00020,n_00073,time_of_action,0.8999999999999999,chunk_00584,s0
e_00069,n_00024,n_00071,time_of_action,0.8,chunk_00584,s0
e_00070,n_00024,n_00072,time_of_action,0.8999999999999999,chunk_00584,s0
e_00071,n_00024,n_00073,time_of_action,0.8999999999999999,chunk_00584,s0
e_00072,n_00025,n_00071,time_of_action,0.8,chunk_00584,s0
e_00073,n_00025,n_00072,time_of_action,0.8999999999999999,chunk_00584,s0
e_00074,n_00025,n_00073,time_of_action,0.8999999999999999,chunk_00584,s0
e_00075,n_00074,n_00075,time_of_action,0.7,chunk_00585,s0
e_00076,n_00028,n_00075,time_of_action,0.7,chunk_00585,s0
e_00077,n_00007,n_00076,has_obligation,0.7,chunk_00642,s0
e_00078,n_00077,n_00078,time_of_action,0.8999999999999999,chunk_00654,s0
e_00079,n_00077,n_00079,time_of_action,0.7,chunk_00654,s0
e_00080,n_00080,n_00078,time_of_action,0.8999999999999999,chunk_00654,s0
e_00081,n_00080,n_00079,time_of_action,0.7,chunk_00654,s0
e_00082,n_00081,n_00082,receives_penalty,0.7,chunk_00675,s2
e_00083,n_00083,n_00084,time_of_action,0.8,chunk_00677,s1
e_00084,n_00083,n_00085,time_of_action,0.8,chunk_00677,s1
e_00085,n_00083,n_00086,time_of_action,0.8,chunk_00678,s2
e_00086,n_00083,n_00087,time_of_action,0.8,chunk_00678,s4
