node_id,text,entity_type,first_chunk,first_sentence,node_frequency
n_00001,60 ngày,TIME_PERIOD,chunk_00085,s1,2
n_00002,thực hiện khi người lao động đồng ý bằng văn bản,ACTION,chunk_00085,s1,2
n_00003,01 năm,TIME_PERIOD,chunk_00085,s1,1
n_00004,03 ngày,TIME_PERIOD,chunk_00086,s0,2
n_00005,"thông báo rõ thời hạn làm tạm thời và bố trí công việc phù hợp với sức khỏe, giới tính của người lao động",ACTION,chunk_00086,s0,1
n_00006,làm việc cộng dồn trong 01 năm mà phải ngừng việc thì người sử dụng lao động phải trả lương ngừng việc theo,ACTION,chunk_00088,s0,1
n_00007,người lao động,LEGAL_ROLE,chunk_00101,s0,7
n_00008,"được trả tự do theo quy định tại khoản 5 điều 328 của bộ luật tố tụng hình sự, tử hình hoặc bị cấm làm công việc ghi trong hợp đồng lao động theo bản án, quyết định của tòa án đã có hiệu lực pháp luật",RIGHT,chunk_00101,s0,1
n_00009,làm việc đối với hợp đồng lao động xác định thời hạn có thời hạn dưới 12 tháng và đối với trường hợp,ACTION,chunk_00120,s2,1
n_00010,người sử dụng lao động phải xây dựng và thực hiện phương án sử dụng lao động theo quy định tại điều 44 của bộ luật này,OBLIGATION,chunk_00136,s0,1
n_00011,người sử dụng lao động,LEGAL_ROLE,chunk_00137,s0,4
n_00012,phải trả trợ cấp mất việc làm theo quy định tại điều 47 của bộ luật này,OBLIGATION,chunk_00137,s0,2
n_00013,thời điểm chấm dứt hợp đồng lao động tính từ thời điểm có thông báo chấm dứt hoạt động,OBLIGATION,chunk_00145,s0,1
n_00014,trong thời hạn 14 ngày làm việc,TIME_PERIOD,chunk_00154,s0,1
n_00015,"thanh toán đầy đủ các khoản tiền có liên quan đến quyền lợi của mỗi bên, trừ trường hợp sau đây có thể kéo dài nhưng không được quá 30 ngày: a) người sử dụng lao động không phải là cá nhân chấm dứt hoạt động",ACTION,chunk_00154,s0,3
n_00016,trong thời hạn 14 ngày,TIME_PERIOD,chunk_00154,s0,1
n_00017,14 ngày,TIME_PERIOD,chunk_00154,s0,3
n_00018,hằng năm,TIME_PERIOD,chunk_00194,s0,5
n_00019,"thông báo kết quả đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề cho cơ quan chuyên môn về lao động thuộc ủy ban nhân dân cấp tỉnh",ACTION,chunk_00194,s0,1
n_00020,trong thời hạn 07 ngày làm việc,TIME_PERIOD,chunk_00227,s1,12
n_00021,"yêu cầu và nội dung thương lượng, các bên thỏa thuận về địa điểm, thời gian bắt đầu thương lượng",ACTION,chunk_00227,s1,3
n_00022,"thương lượng, các bên thỏa thuận về địa điểm, thời gian bắt đầu thương lượng",ACTION,chunk_00227,s1,3
n_00023,"thỏa thuận về địa điểm, thời gian bắt đầu thương lượng",ACTION,chunk_00227,s1,3
n_00024,trong thời hạn 07 ngày,TIME_PERIOD,chunk_00227,s1,12
n_00025,07 ngày,TIME_PERIOD,chunk_00227,s1,12
n_00026,không được quá 30 ngày,TIME_PERIOD,chunk_00227,s3,1
n_00027,yêu cầu thương lượng tập thể,ACTION,chunk_00227,s3,2
n_00028,30 ngày,TIME_PERIOD,chunk_00227,s3,2
n_00029,không được quá 90 ngày,TIME_PERIOD,chunk_00228,s0,1
n_00030,thỏa thuận khác,ACTION,chunk_00228,s0,2
n_00031,90 ngày,TIME_PERIOD,chunk_00228,s0,2
n_00032,trong thời hạn 10 ngày,TIME_PERIOD,chunk_00229,s0,1
n_00033,"cung cấp thông tin về tình hình hoạt động sản xuất, kinh doanh và nội dung khác liên quan trực tiếp đến nội dung thương lượng trong phạm vi doanh nghiệp nhằm tạo điều kiện thuận lợi cho thương lượng tập thể, trừ thông tin về bí mật kinh doanh, bí mật công nghệ của người sử dụng lao động",ACTION,chunk_00229,s0,2
n_00034,10 ngày,TIME_PERIOD,chunk_00229,s0,1
n_00035,nhiều doanh nghiệp,LEGAL_ROLE,chunk_00250,s1,1
n_00036,được ký kết bởi chủ tịch hội đồng thương lượng tập thể và đại diện hợp pháp của các bên thương lượng,RIGHT,chunk_00250,s1,2
n_00037,doanh nghiệp,LEGAL_ROLE,chunk_00250,s1,1
n_00038,trong thời hạn 90 ngày,TIME_PERIOD,chunk_00268,s0,1
n_00039,thương lượng để kéo dài thời hạn của thỏa ước lao động tập thể hoặc ký kết thỏa ước lao động tập thể mới,ACTION,chunk_00268,s0,2
n_00040,phải được áp dụng thử,OBLIGATION,chunk_00290,s0,1
n_00041,được trả lương theo mức do hai bên thỏa thuận,OBLIGATION,chunk_00309,s1,1
n_00042,thỏa thuận nhưng phải bảo đảm tiền lương ngừng việc trong 14 ngày đầu tiên không thấp hơn mức lương tối thiểu,ACTION,chunk_00310,s1,1
n_00043,bảo đảm tiền lương ngừng việc trong 14 ngày đầu tiên không thấp hơn mức lương tối thiểu,ACTION,chunk_00310,s1,1
n_00044,không bị tính lãi,RIGHT,chunk_00313,s0,1
n_00045,từ 06 giờ trở lên,TIME_PERIOD,chunk_00333,s0,1
n_00046,làm việc ban đêm thì được nghỉ giữa giờ ít nhất 45 phút liên tục,ACTION,chunk_00333,s0,3
n_00047,06 giờ,TIME_PERIOD,chunk_00333,s0,1
n_00048,30 phút,TIME_PERIOD,chunk_00333,s0,1
n_00049,16 ngày,TIME_PERIOD,chunk_00342,s2,1
n_00050,"làm nghề, công việc đặc biệt nặng nhọc, độc hại, nguy hiểm",ACTION,chunk_00342,s2,1
n_00051,thanh toán tiền lương cho những ngày chưa nghỉ,ACTION,chunk_00344,s0,2
n_00052,thông báo trước cho người lao động biết,ACTION,chunk_00345,s0,1
